Simulation	"Annual financial bail-out"	Attention rate for planning new infrastructure	Percentage of income used for maintenance	Staff required for tankers	Staff service time	switch policy staff attention	Target percentage infrastructure maintenance	householdshortage
165	119.994	0.0594747	0.467889	0	9.82921	1	0.109301	4409.44
166	208.488	0.731825	0.334744	1	20.4944	1	0.123837	0
167	111.22	0.848038	0.599514	0	9.06569	2	0.141975	5319.92
168	117.754	0.0146749	0.276827	1	22.8972	0	0.0693557	21146.4
169	148.147	0.606986	0.495724	0	13.3999	1	0.0639704	0
170	101.009	0.333417	0.232797	1	13.5025	2	0.0570315	2573.37
171	44.9995	0.930159	0.267335	0	10.1439	0	0.115407	169.683
172	237.854	0.948223	0.478885	1	14.9932	1	0.233757	0
173	223.653	0.374991	0.580303	0	5.17438	0	0.236465	57540.8
174	128.314	0.938029	0.422483	1	14.7259	2	0.0728714	0
175	15.8439	0.302655	0.412005	0	7.05617	0	0.231606	0
176	103.589	0.706439	0.23796	1	19.7985	1	0.163531	204.336
177	130.583	0.103851	0.298215	0	20.4721	2	0.222663	0
178	102.751	0.351834	0.468177	1	18.8891	2	0.0756126	0
179	85.9641	0.891464	0.466455	0	16.3855	0	0.116417	0
180	127.9	0.327754	0.336094	1	12.1184	1	0.206033	70566.8
181	180.09	0.103534	0.409333	1	13.365	0	0.0767218	0
182	126.507	0.758684	0.331857	0	17.4826	1	0.0954001	0
183	129.077	0.0209284	0.447181	0	9.72533	2	0.148859	4429.73
184	143.204	0.841153	0.40025	1	24.2535	1	0.12518	0
185	167.762	0.92283	0.351935	1	18.9296	2	0.0987223	0
186	87.6756	0.206586	0.514685	0	5.44992	0	0.161481	14344.3
187	186.513	0.0731623	0.560154	1	18.3502	2	0.247941	0
188	214.385	0.472898	0.510493	0	22.4031	1	0.195077	0
189	94.9419	0.191933	0.319057	0	20.6894	0	0.210342	0
190	242.796	0.894114	0.397678	1	5.26197	1	0.126337	144062
191	123.425	0.401656	0.391899	0	7.17554	2	0.221624	6985.36
192	17.4999	0.178628	0.471206	1	9.60619	0	0.245001	0
193	163.434	0.680939	0.423115	1	10.4039	1	0.196965	101401
194	177.08	0.782538	0.443817	0	6.45161	2	0.0504269	6509.63
195	59.8525	0.520783	0.54839	0	16.2805	0	0.228996	0
196	217.402	0.370975	0.419835	1	14.5673	2	0.172013	0
197	13.0202	0.846069	0.556448	1	17.1391	1	0.244136	0
198	89.3075	0.503756	0.379505	0	8.45078	0	0.0708008	1040.07
199	224.846	0.555852	0.396178	0	16.612	1	0.0721045	0
200	4.32275	0.93071	0.270232	1	13.8601	2	0.15461	6593.53
201	141.301	0.256615	0.465971	1	12.8933	0	0.0979925	0
202	15.3446	0.0427731	0.593332	0	9.52366	0	0.219036	8373.44
203	31.9413	0.465121	0.495859	0	14.9054	1	0.217861	0
204	173.888	0.322749	0.589033	1	13.3556	2	0.221085	4205.86
205	197.205	0.535944	0.293664	0	8.05863	2	0.0628987	3590.67
206	59.0034	0.80894	0.536447	1	17.3023	0	0.140982	0
207	121.759	0.037364	0.34223	0	15.1944	1	0.132551	0
208	195.249	0.900997	0.262728	1	5.43125	0	0.17002	117056
209	161.673	0.377833	0.222851	1	10.1493	2	0.214939	3017.14
210	204.858	0.373189	0.358153	0	14.6855	1	0.132485	0
211	110.595	0.418242	0.573109	1	7.27768	0	0.227826	76.8919
212	185.69	0.629713	0.330636	0	6.72079	1	0.23844	149025
213	12.5228	0.134399	0.424091	1	10.5389	2	0.0728975	3339.32
214	149.102	0.485928	0.583607	0	21.6866	2	0.0545842	0
215	23.8162	0.305227	0.430801	1	11.5534	1	0.226598	101380
216	79.9001	0.434333	0.279833	0	20.1989	0	0.221759	74.124
217	86.9297	0.883198	0.55237	1	20.5469	2	0.0826304	0
218	190.577	0.72398	0.520489	0	17.5765	0	0.167239	0
219	152.819	0.228676	0.203818	0	19.3441	1	0.203787	7551.35
220	113.539	0.523742	0.222155	1	9.35111	0	0.179724	264.505
221	114.537	0.0774687	0.278052	0	8.8573	2	0.104043	3224.93
222	112.539	0.470076	0.365607	1	6.66546	1	0.0687847	8981.22
223	67.8426	0.429638	0.421273	0	13.2045	2	0.215879	0
224	178.764	0.330993	0.230176	1	9.27885	1	0.185036	139697
225	191.024	0.270322	0.55483	1	15.6534	0	0.0891273	0
226	128.076	0.111913	0.453675	0	18.2228	1	0.106576	0
227	167.406	0.67892	0.285371	0	21.3117	2	0.113407	0
228	101.081	0.720074	0.316431	1	8.03221	0	0.0506672	1511.55
229	58.6883	0.29778	0.382242	0	8.88368	2	0.0724061	3637.11
230	219.187	0.387466	0.378919	1	13.8646	1	0.101276	0
231	218.752	0.0404134	0.467324	1	7.1797	0	0.168631	75121.5
232	86.9112	0.0602286	0.585334	0	10.199	1	0.100861	4416.45
233	138.213	0.627752	0.400599	0	22.1669	2	0.229414	0
234	144.262	0.342087	0.32418	1	6.8553	0	0.225734	0
235	43.2725	0.189634	0.428487	1	15.0594	2	0.122303	0
236	51.1839	0.427836	0.491463	0	21.4437	0	0.0840086	0
237	5.36789	0.525714	0.51681	0	13.4031	1	0.132275	0
238	141.559	0.529041	0.349913	1	5.82275	1	0.0545221	9520.29
239	93.1541	0.547861	0.2476	0	22.655	0	0.164845	177.309
240	6.35726	0.772354	0.358488	1	21.935	2	0.20718	0
241	149.362	0.446537	0.370643	0	14.5621	1	0.0618235	0
242	66.5607	0.503679	0.50483	1	21.2537	2	0.242423	0
243	60.2359	0.488788	0.247648	0	7.20502	0	0.130376	228.379
244	195.728	0.364687	0.212173	1	10.6527	0	0.172887	199.306
245	132.112	0.487765	0.575433	1	14.5072	2	0.154325	0
246	126.926	0.142489	0.404905	0	17.3173	1	0.124272	0
247	246.336	0.931469	0.552012	1	20.9673	2	0.224238	0
248	40.3409	0.530276	0.222046	0	19.0988	1	0.15734	2447.71
249	238.545	0.0357605	0.521061	0	8.89517	0	0.169287	18738.6
250	178.097	0.693778	0.289271	1	18.5567	0	0.0602986	0
251	242.715	0.350531	0.262283	1	20.7707	1	0.0869187	0
252	146.653	0.717487	0.436314	0	11.6731	2	0.0642988	0
253	146.404	0.645758	0.374993	0	16.6127	1	0.11235	0
254	75.4155	0.843402	0.514808	1	15.4093	0	0.112177	0
255	185.498	0.218455	0.24268	1	19.8428	2	0.215295	79.2348
256	157.067	0.864032	0.437196	0	19.1793	0	0.243671	0
257	102.806	0.26027	0.209514	0	12.5239	1	0.137282	2755.58
258	244.277	0.580733	0.459062	1	23.8154	2	0.130395	0
259	203.353	0.954796	0.311473	0	18.8203	0	0.153044	0
260	14.6204	0.61846	0.484528	1	14.3273	1	0.128061	0
261	201.172	0.629291	0.255167	1	11.1789	2	0.159296	3245.29
262	218.557	0.317335	0.522471	0	24.8724	0	0.063606	0
263	95.4096	0.355292	0.577671	0	19.1648	2	0.206295	0
264	6.58725	0.951159	0.235852	1	22.5206	1	0.0997019	378.637
265	149.23	0.459536	0.481666	1	17.506	1	0.13047	0
266	34.4606	0.0709507	0.546097	0	6.60286	2	0.13902	8396.2
267	99.3717	0.667145	0.532012	1	21.5593	0	0.196703	0
268	175.262	0.572886	0.372049	0	21.0771	0	0.129565	0
269	116.737	0.858545	0.529371	0	22.1484	1	0.244862	0
270	228.194	0.632255	0.546068	1	21.9094	2	0.183897	0
271	18.1631	0.0464498	0.514476	0	9.29971	1	0.234076	126126
272	55.819	0.759857	0.309006	1	15.8784	0	0.110167	22.5363
273	197.795	0.601182	0.568937	1	6.21453	2	0.105701	7803.65
274	32.154	0.63588	0.235311	0	24.0048	2	0.0582984	334.163
275	150.927	0.079693	0.413978	1	20.306	1	0.20104	0
276	234.131	0.820133	0.232086	0	6.66398	0	0.0677526	1133.52
277	39.7423	0.630072	0.503547	1	7.95442	1	0.0841486	4498.21
278	127.528	0.817259	0.591912	0	11.8936	0	0.225559	0
279	218.579	0.176658	0.389004	1	7.97158	2	0.0583534	4445.74
280	121.231	0.598407	0.2439	0	18.1166	0	0.179936	153.008
281	67.9238	0.13648	0.296782	0	21.9968	1	0.177742	39.0204
282	149.951	0.607811	0.207601	1	22.6466	2	0.109949	285.285
283	195.404	0.1879	0.319806	0	7.77539	0	0.11145	0
284	215.99	0.52761	0.572402	1	6.16213	2	0.216385	39620.7
285	229.038	0.666725	0.315908	0	23.1626	1	0.20333	0
286	228.365	0.942802	0.437352	1	20.4563	0	0.216032	0
287	142.164	0.172065	0.539899	0	8.61836	2	0.217953	4696.87
288	46.4967	0.0464785	0.364827	1	22.6045	1	0.164441	0
289	98.6033	0.816347	0.253758	0	13.6937	0	0.235825	143.826
290	239.83	0.385143	0.593185	1	22.5483	1	0.0540701	0
291	175.975	0.18186	0.259317	0	14.2491	2	0.180998	3005.29
292	245.173	0.0461072	0.551	1	24.829	2	0.0822131	0
293	177.207	0.888284	0.225757	1	18.8858	1	0.181919	188.727
294	151.745	0.659733	0.216079	0	16.5555	0	0.186074	238.99
295	24.6554	0.968802	0.278237	0	19.3195	2	0.193229	95925.2
296	0.244004	0.62582	0.216315	1	10.6327	0	0.220866	488.773
297	195.051	0.322899	0.513634	0	9.46298	1	0.179055	96883.2
298	171.514	0.670864	0.290218	1	20.0897	0	0.18539	0
299	77.7555	0.946635	0.481157	1	7.91865	1	0.102902	71662.9
300	129.331	0.0605394	0.405765	0	7.34717	2	0.0920459	7259.22
301	225.177	0.136197	0.279932	1	22.8886	0	0.125078	0
302	162.624	0.677053	0.220212	0	5.67445	1	0.240279	153515
303	90.3524	0.218568	0.520353	0	12.3874	2	0.174539	0
304	55.5326	0.830656	0.215343	1	7.35969	1	0.235358	153754
305	221.292	0.932185	0.357569	0	16.1377	2	0.060316	0
306	152.338	0.767691	0.595788	1	8.94456	0	0.176339	0
307	223.375	0.307117	0.229981	1	21.3855	1	0.0759505	87.2385
308	179.117	0.0690762	0.265272	0	13.6383	2	0.211875	3180.06
309	60.9103	0.141045	0.367609	0	20.3766	0	0.120735	0
310	180.339	0.944227	0.420231	1	9.15714	2	0.10698	106026
311	163.602	0.263597	0.564446	1	14.6763	1	0.2251	0
312	51.4054	0.773198	0.340737	0	24.3023	0	0.249782	0
