Simulation,Annual.financial.bail-out,Attention.rate.for.planning.new.infrastructure,Default.infrastructure.aging.time,Maximum.capacity.exceeding,Percentage.of.income.used.for.maintenance,Staff.Hired,Staff.required.for.tankers,Staff.service.time,switch.policy.staff.attention,Target.percentage.infrastructure.maintenance,householdshortage
82,226.819,0.242673,22.3443,0.166781,0.362234,21.4787,0,6.04392,2,0.115699,4690.78
83,241.933,0.420728,37.4148,0.245722,0.511639,38.7106,0,19.0005,1,0.177948,3279.82
84,105.943,0.397651,21.3904,0.0657057,0.205487,0.00312622,1,15.7359,0,0.0985577,204705
85,92.587,0.922329,34.9218,0.456571,0.202079,47.9278,0,10.9558,1,0.0571683,5516.49
86,164.707,0.396424,36.4826,0.376905,0.364653,18.6241,1,15.4367,2,0.0774896,3707.83
87,228.564,0.758459,39.9236,0.0793702,0.43127,34.6989,0,23.0737,0,0.0714903,3211.19
88,102.606,0.465898,32.3938,0.447206,0.570587,39.3331,1,16.0992,1,0.170161,3594.12
89,160.818,0.735681,39.5742,0.175701,0.562555,46.8436,1,10.7696,0,0.20728,3169.23
90,100.761,0.760554,27.4949,0.188164,0.518043,40.0686,0,24.1303,2,0.129355,4051.43
91,23.9048,0.378374,36.8933,0.384531,0.367035,30.1499,1,24.2084,0,0.0802081,4113.35
92,115.368,0.774819,27.0468,0.476444,0.265057,31.6463,0,6.96627,2,0.05857,5866.63
93,100.495,0.116982,29.8086,0.408887,0.491947,19.1419,1,12.4787,1,0.238935,3841.64
94,179.346,0.17078,26.295,0.0202061,0.535707,44.903,0,7.16952,1,0.221896,3881.19
95,231.326,0.747211,22.6717,0.132839,0.563447,27.2189,0,7.55622,0,0.204035,4486.42
96,198.101,0.74636,25.384,0.0999648,0.314748,3.40797,1,15.939,2,0.173846,16489.5
97,75.5211,0.00094133,36.6993,0.440729,0.203608,7.03402,1,10.8133,1,0.0845954,5345.61
98,154.937,0.494793,29.5878,0.360795,0.436593,40.1518,0,15.9517,2,0.0741455,3703.57
99,80.414,0.103897,20.5164,0.173832,0.201391,22.5548,0,13.2017,0,0.213293,11021.3
100,51.2829,0.11408,28.1217,0.0525101,0.281398,17.0078,1,5.44945,0,0.0944998,5536.63
101,75.111,0.976401,33.9177,0.229763,0.507173,24.0553,1,8.56922,2,0.16187,3531.8
102,134.195,0.674492,23.3951,0.239418,0.416993,8.69557,0,23.4876,1,0.136022,4400.11
103,247.923,0.693826,31.0852,0.348378,0.467828,39.4294,0,21.4545,0,0.149343,3705.89
104,144.988,0.827856,23.3775,0.0178422,0.308058,32.5538,1,8.5669,2,0.0721322,5502.92
105,30.0939,0.0792713,22.4674,0.109126,0.270613,24.099,0,16.7045,1,0.22416,7240.96
106,133.401,0.0574593,37.5414,0.475494,0.211636,29.4875,1,24.2711,0,0.155706,5036.61
107,1.27609,0.567844,36.9712,0.352954,0.244239,47.7166,0,22.0669,1,0.0682466,5150.11
108,156.077,0.410299,20.3527,0.0998833,0.276692,21.2321,1,8.88615,2,0.197675,6819.97
109,178.13,0.522535,32.3067,0.423655,0.455231,34.1231,0,11.4751,1,0.242874,3660.76
110,16.4761,0.893974,39.3231,0.145559,0.491632,41.3591,1,18.6245,0,0.127586,3208.57
111,59.2085,0.0670151,30.097,0.217123,0.431039,36.4873,1,23.151,2,0.0656811,3966.38
112,75.848,0.441745,38.3589,0.172085,0.546906,13.705,0,6.24286,1,0.0628379,3277.28
113,62.4788,0.173662,37.6341,0.490815,0.513112,48.812,0,18.5718,2,0.240286,3296.62
114,59.5138,0.564762,33.2859,0.0457306,0.437161,46.6028,1,6.42611,0,0.241093,3763.1
115,228.397,0.910144,20.0845,0.346722,0.564046,1.44854,0,15.0203,2,0.15044,33.4145
116,37.4789,0.747479,35.0168,0.214523,0.317739,38.679,1,20.0819,1,0.177549,4579.22
117,60.1991,0.00121505,23.328,0.466207,0.399013,5.5673,1,23.3489,0,0.222824,156646
118,13.7453,0.802824,20.2656,0.231564,0.371264,34.3115,0,24.9842,1,0.10408,6742.91
119,123.872,0.23848,20.1021,0.0756221,0.503178,28.1981,1,13.1054,2,0.116914,4786.01
120,234.469,0.232987,25.3406,0.143603,0.276512,29.5552,0,10.1237,0,0.101593,5367.01
121,2.48965,0.439007,31.8351,0.344761,0.469944,46.7989,0,20.5621,2,0.0721859,3795.09
122,204.964,0.53232,28.8528,0.298774,0.212355,44.9298,1,19.0682,1,0.0546838,5936.54
123,197.669,0.647757,39.0842,0.112873,0.598982,27.6688,1,24.6995,0,0.201844,3154.24
124,249.977,0.98468,33.4787,0.0158822,0.227871,19.5865,0,13.9468,2,0.0798658,4865.35
125,189.036,0.706636,29.2494,0.385357,0.317285,26.3489,0,24.1379,1,0.136898,4567.36
126,79.5852,0.311717,36.354,0.151606,0.55098,40.0713,1,15.9239,0,0.180859,3377.31
127,223.448,0.923056,24.135,0.487617,0.561,34.3623,1,14.5464,2,0.0963758,4334.08
128,223.87,0.973859,31.4238,0.255731,0.545044,0.0207759,0,14.6609,0,0.207166,187794
129,140.071,0.853957,23.1325,0.0388421,0.299324,46.3254,1,13.2853,1,0.132469,5697.01
130,163.445,0.155238,20.6961,0.303743,0.311622,32.7188,0,14.6461,2,0.208873,6285.83
131,239.714,0.619056,28.2298,0.475387,0.507141,43.8658,1,9.27879,0,0.238121,3916.53
132,221.257,0.0339214,32.6251,0.187878,0.592361,21.4406,0,9.47788,1,0.24574,3510.42
133,146.081,0.427203,28.9876,0.360704,0.407883,29.8696,0,16.8122,1,0.197472,3890.66
134,238.796,0.0183082,32.0753,0.307823,0.340884,21.0855,1,10.3226,0,0.232189,5302.48
135,183.048,0.415867,23.1825,0.456895,0.327577,13.6461,0,15.7807,2,0.148381,5247.93
136,86.889,0.631203,39.5586,0.0447466,0.431536,7.40224,1,11.568,1,0.209937,3380.75
137,85.3044,0.486119,26.5017,0.325308,0.338587,12.0073,0,11.2377,0,0.224156,5103.42
138,65.6587,0.339943,36.8537,0.318326,0.587618,8.27114,1,19.9294,2,0.112559,3330.23
139,93.2477,0.730772,38.1821,0.222498,0.494967,8.46858,0,14.7673,1,0.176413,3300.99
140,125.287,0.421536,28.6863,0.0150267,0.451812,27.407,1,6.49518,0,0.156951,3738
141,61.9308,0.833295,28.1971,0.25421,0.46431,19.5988,1,6.53629,2,0.0711145,3840.81
142,89.9203,0.65462,20.8343,0.19073,0.502348,9.94858,0,24.6257,2,0.118432,5038.96
143,97.7235,0.207356,25.0486,0.128149,0.401432,19.1251,0,18.8731,1,0.0780315,4522.19
144,218.079,0.0401146,25.0419,0.3662,0.324774,38.3754,1,6.84887,0,0.234039,4837.5
145,74.0678,0.505022,21.6698,0.356214,0.231555,6.68669,1,7.10828,1,0.180065,173.635
146,5.30633,0.940907,28.8543,0.104128,0.425217,47.1716,0,14.262,2,0.129016,4364.38
147,206.298,0.873669,36.0821,0.252486,0.333309,4.10478,0,20.8186,0,0.0883122,3858.85
148,107.62,0.183218,34.5453,0.48169,0.267162,18.0774,1,8.18969,0,0.186564,4839.95
149,191.895,0.239899,25.9485,0.339192,0.331954,2.0799,0,22.0369,2,0.102935,187270
150,38.2656,0.959216,23.7762,0.417952,0.283407,41.3675,1,10.1209,1,0.0909927,7301.88
151,107.172,0.378654,37.3948,0.363454,0.350237,43.4971,1,18.216,1,0.163053,3940.6
152,106.122,0.918586,29.2023,0.292758,0.232269,22.7499,0,10.2538,2,0.194401,5982.34
153,214.292,0.902025,35.767,0.176635,0.594422,24.8532,1,14.2075,0,0.166016,3320.38
154,236.639,0.813401,30.7099,0.366851,0.410039,33.9474,0,5.06365,1,0.0660788,3684.9
155,202.673,0.526331,37.0583,0.471358,0.225228,48.7816,0,8.83568,2,0.241707,4774.45
156,54.706,0.0325263,23.5557,0.339875,0.482197,48.8953,1,20.1019,0,0.0869268,4228.2
157,58.1369,0.532265,38.2137,0.35091,0.319612,6.0455,1,13.8894,2,0.24118,4269.71
158,120.555,0.406762,32.1385,0.076049,0.339513,40.5731,0,12.9457,0,0.127776,4336.86
159,53.7509,0.315273,28.7252,0.380372,0.481531,4.34991,1,19.5472,1,0.188827,3728.84
160,148.058,0.816167,35.6697,0.235807,0.289149,47.3145,0,22.2671,2,0.182674,4427.09
161,81.906,0.893331,25.5574,0.157287,0.262023,35.5691,0,18.8419,1,0.116731,6334.38
162,127.279,0.682642,39.7611,0.165563,0.506795,15.9956,1,21.2995,0,0.073422,3214.2
163,57.0323,0.353095,26.7024,0.0938012,0.254996,19.0694,1,8.57117,0,0.228589,6125.01
164,50.1267,0.468119,34.4633,0.12297,0.475838,46.9824,0,6.47067,2,0.0549994,3408.52
165,111.138,0.475084,33.7845,0.271044,0.478445,17.7374,1,10.803,1,0.175857,3471.42
166,72.5594,0.836704,27.2942,0.00362429,0.269632,27.7664,0,6.80283,1,0.0775762,5628.41
167,74.3435,0.0950426,35.8899,0.385471,0.227773,46.1326,0,10.5534,2,0.227958,5192.14
168,94.6338,0.557236,37.9309,0.0966878,0.364973,8.1256,1,23.3786,0,0.0583885,3841.51
169,171.99,0.457438,21.4189,0.0501613,0.351184,38.2758,1,10.1951,0,0.0970534,5176.44
170,143.625,0.696944,22.8141,0.293109,0.551539,37.3425,0,8.72064,1,0.178286,4593.09
171,174.852,0.372719,22.1685,0.144315,0.337566,3.24077,1,12.1573,2,0.228869,184053
172,67.9547,0.612696,33.3523,0.445478,0.537388,42.3633,0,22.0831,0,0.0539264,3577
173,200.725,0.947259,28.4465,0.179671,0.207857,49.7807,1,9.52863,2,0.0746498,6063.92
174,13.3955,0.702089,27.3252,0.489221,0.230879,41.26,0,10.9981,1,0.122426,7238.34
