Simulation	"Annual financial bail-out"	Attention rate for planning new infrastructure	Default infrastructure aging time	Percentage of income used for maintenance	Staff required for tankers	Staff service time	switch policy staff attention	Target percentage infrastructure maintenance	householdshortage
126	207.005	0.153294	35.9849	0.398205	0	13.5173	1	0.13975	0
127	211.937	0.446768	31.1226	0.53701	0	6.81616	2	0.155274	9010.63
128	67.5639	0.654752	20.8409	0.469109	1	12.1575	0	0.201923	204.785
129	128.698	0.832707	31.1957	0.476297	1	22.4899	1	0.183839	0
130	150.213	0.68193	21.58	0.201395	0	22.6584	2	0.201661	169526
131	75.9613	0.461892	21.3313	0.302109	0	17.7778	0	0.0630234	4563.95
132	128.873	0.212593	20.0656	0.387363	1	12.8653	1	0.0729918	203825
133	93.2158	0.81718	22.7039	0.31997	1	6.43282	1	0.201	198366
134	97.8346	0.0890823	26.3078	0.237804	0	14.9989	2	0.227061	6384.22
135	43.1586	0.802231	39.1655	0.443402	0	6.96443	0	0.185938	0
136	236.473	0.346279	37.6483	0.484639	1	24.6018	0	0.193116	0
137	206.586	0.325678	29.0676	0.474622	0	9.81817	2	0.186378	6057.53
138	39.504	0.934625	23.6247	0.364964	1	21.1172	1	0.104906	171586
139	50.5648	0.888684	31.0058	0.337493	0	23.1258	1	0.187573	30.4606
140	98.9404	0.149079	34.6516	0.593042	1	15.71	2	0.214114	0
141	118.06	0.574161	36.5866	0.214771	1	8.36086	0	0.0749075	183.479
142	100.778	0.741619	35.067	0.382497	0	19.4301	2	0.111194	0
143	101.511	0.359298	37.9658	0.248172	1	10.3431	1	0.1833	22560.4
144	238.312	0.167669	28.155	0.385975	0	15.7843	0	0.0964291	0
145	58.9408	0.7139	33.579	0.300087	1	8.30777	0	0.225492	45.9035
146	209.904	0.0156271	25.8411	0.289596	0	5.7011	2	0.212308	83741
147	244.684	0.824949	28.7877	0.217057	1	12.6454	1	0.244722	65860.7
148	97.0508	0.180147	31.9926	0.561125	0	14.7937	1	0.119297	0
149	20.004	0.434748	37.0359	0.532464	1	12.6819	0	0.0526963	0
150	106.324	0.857859	22.8475	0.348068	0	9.88089	2	0.135316	184162
151	72.4846	0.549929	27.0269	0.221393	0	23.2472	1	0.155045	5622.55
152	67.3619	0.353595	39.8604	0.487873	1	8.53269	0	0.0506218	1756.44
153	128.024	0.943651	35.6577	0.403382	1	20.3543	2	0.110804	0
154	107.362	0.0541265	26.8394	0.452818	0	17.8026	1	0.202831	0
155	207.859	0.952548	36.4381	0.570677	1	19.8738	0	0.248375	0
156	25.4114	0.632827	30.6613	0.381284	0	19.0161	2	0.200568	0
157	221.383	0.382224	34.3861	0.234823	1	24.2675	2	0.209639	47.8937
158	228.194	0.0163991	28.6264	0.240278	0	19.3404	0	0.188573	57519.9
159	119.491	0.471248	20.0758	0.221292	0	13.7348	1	0.112712	215917
160	103.204	0.514628	24.6548	0.588744	1	5.37087	0	0.117187	138888
161	236.202	0.117051	27.1782	0.218992	0	10.9727	1	0.195541	66747.3
162	244.856	0.234931	21.3325	0.285443	1	22.3261	2	0.22193	109965
163	104.659	0.491176	31.0033	0.52201	1	11.3855	1	0.0977095	0
164	220.423	0.735375	33.6628	0.382105	0	21.8642	0	0.187346	0
165	190.13	0.491009	30.5694	0.533754	0	6.75252	2	0.0660577	5990.58
166	89.8498	0.439572	31.2137	0.44633	1	10.3712	0	0.123802	0
167	219.162	0.984502	34.9766	0.589723	0	14.7811	2	0.226528	127580
168	185.872	0.84226	21.7509	0.546409	1	19.1147	1	0.0594433	170.024
169	161.132	0.81304	31.1611	0.491199	0	12.8722	1	0.15411	0
170	154.335	0.636773	30.589	0.340858	1	9.51394	0	0.188861	0
171	107.932	0.987855	38.5772	0.54839	0	8.87477	2	0.208634	135701
172	23.3601	0.0168525	38.1984	0.379951	1	12.9226	1	0.239203	29612.1
173	30.7942	0.645479	35.2849	0.461957	1	9.66117	0	0.0705618	0
174	82.5733	0.567383	39.1991	0.268725	0	24.3139	2	0.125017	0
175	4.47219	0.25557	39.4453	0.229318	0	7.00121	0	0.18958	161.977
176	30.3616	0.137066	34.4044	0.322222	1	16.6213	1	0.0818205	4.66088
177	126.11	0.172027	37.3232	0.515954	0	15.8362	2	0.113222	0
178	145.175	0.491504	27.7665	0.329269	1	10.0246	0	0.0894892	28.7151
179	159.757	0.669889	38.7666	0.346736	1	8.36721	1	0.168354	58126
180	197.006	0.0201722	32.6291	0.238415	0	21.2249	2	0.188129	134.403
181	38.36	0.795828	32.8026	0.562298	1	24.9171	1	0.140408	0
182	17.7516	0.128132	39.1883	0.389103	0	13.7728	0	0.0791757	0
183	125.826	0.0334401	37.0841	0.467632	1	14.4856	2	0.118539	0
184	184.671	0.202656	37.179	0.425563	0	5.23179	2	0.217311	7875.26
185	27.6508	0.649993	20.2908	0.30492	0	5.25969	0	0.194524	202277
186	49.1412	0.451444	25.6075	0.273891	1	18.5134	1	0.233446	21298
187	239.999	0.88772	29.8669	0.327495	1	5.25463	0	0.0946403	148931
188	21.2639	0.255985	37.9762	0.269428	0	22.0256	1	0.115474	49.9749
189	64.5515	0.699015	30.7567	0.32618	0	20.8761	2	0.198411	53.7246
190	236.828	0.134151	39.3339	0.322114	1	21.6992	2	0.219348	0
191	163.752	0.969378	24.4853	0.503394	0	7.81958	1	0.213833	185340
192	0.55618	0.890995	20.5257	0.449868	1	20.4659	0	0.135888	384.884
193	30.5693	0.462613	35.5236	0.274171	1	15.2138	1	0.201444	3425.77
194	181.981	0.765982	21.9884	0.215236	0	7.82628	0	0.0572268	184707
195	86.5161	0.403571	39.0957	0.328688	1	11.2709	2	0.239803	0
196	40.9016	0.745478	34.7967	0.580039	0	22.6304	1	0.217555	0
197	163.063	0.242851	31.7085	0.495986	1	5.28569	2	0.129802	5475.36
198	25.3556	0.565092	32.6329	0.280164	0	16.7826	0	0.129289	246.235
199	3.75798	0.927035	39.138	0.39552	0	24.0675	1	0.082826	0
200	102.185	0.0118844	32.6877	0.463186	1	16.333	2	0.232577	0
201	135.152	0.238082	39.4363	0.257366	0	9.05413	0	0.0758766	0
202	101.143	0.795386	26.2224	0.421171	1	12.1938	2	0.170512	6972.34
203	32.9892	0.118063	38.9626	0.340038	1	22.165	0	0.195347	0
204	139.412	0.210207	29.7888	0.351259	0	11.9546	1	0.134472	4414.31
205	125.708	0.585166	24.6766	0.233568	0	13.8866	1	0.193835	47411.7
206	94.0623	0.183401	23.6006	0.426071	1	21.5336	2	0.220839	0
207	156.452	0.331095	32.6072	0.37416	0	9.31146	0	0.135551	0
208	70.7903	0.721209	31.8912	0.412527	1	21.74	2	0.116892	0
209	2.18636	0.842089	25.2396	0.239829	0	9.67587	1	0.115017	81263
210	220.542	0.236374	26.2719	0.290513	1	6.81545	0	0.11503	1809.92
211	116.526	0.319214	27.2833	0.303105	1	16.9284	0	0.194781	264.01
212	168.665	0.727973	39.1567	0.516572	0	13.9425	2	0.195593	0
213	60.4466	0.861196	35.5955	0.513429	0	9.33614	1	0.191308	59375.8
214	27.7841	0.490617	37.1923	0.215568	1	13.6019	2	0.140443	2338.23
215	197.162	0.222702	34.3979	0.328657	1	8.66168	1	0.12784	4157.76
216	140.484	0.0956636	35.7295	0.235686	0	19.5383	0	0.220923	464.765
217	212.779	0.0219907	30.6484	0.323186	0	18.3441	0	0.142448	10332.7
218	90.1306	0.0998995	21.6862	0.539936	1	20.1118	1	0.0582984	209.878
219	91.2169	0.394482	38.6914	0.326511	1	6.60677	2	0.193152	5054.48
220	51.7826	0.0523804	33.1234	0.309139	0	20.7081	1	0.220816	192.48
221	186.933	0.79166	30.3742	0.27984	1	8.55096	0	0.120884	55.152
222	183.619	0.221273	20.139	0.386776	0	17.3075	2	0.125668	193048
223	247.338	0.744951	33.1661	0.527559	0	9.21061	1	0.205942	80366.8
224	14.8119	0.0834114	33.0976	0.305208	1	10.5522	0	0.0830717	140.686
225	105.332	0.13693	26.9726	0.522695	1	12.3947	2	0.0881812	0
226	90.7911	0.343243	37.5978	0.476988	0	22.3702	1	0.223546	0
227	40.9902	0.772372	29.4076	0.59733	0	11.0697	2	0.112537	5181.87
228	89.1693	0.855837	38.827	0.306334	1	22.1136	0	0.180714	0
229	154.738	0.747496	27.226	0.485065	1	15.931	0	0.171758	0
230	99.9887	0.264386	28.4849	0.281425	0	7.21811	2	0.0852305	8512.37
231	112.012	0.899766	25.478	0.428624	0	6.30005	1	0.192592	166343
232	88.8791	0.34873	33.3256	0.395283	1	11.1529	2	0.146189	0
233	133.933	0.781342	34.5404	0.233712	0	9.25641	1	0.22595	96626.9
234	72.1416	0.640571	31.9132	0.433108	1	14.1175	0	0.227788	0
235	242.916	0.285936	24.0045	0.594896	0	21.3632	0	0.0537475	2433.96
236	43.2054	0.0481561	37.6423	0.223118	1	11.2352	1	0.196188	19814.7
237	30.4957	0.604996	21.6096	0.592169	1	10.0637	2	0.0770003	179975
238	227.084	0.828941	32.7102	0.311473	0	16.5017	2	0.162004	0
239	123.23	0.365509	35.6214	0.438332	0	7.28219	1	0.116417	20241.4
240	17.3532	0.674264	33.4206	0.450378	1	24.1754	0	0.129266	0
241	244.1	0.852648	39.4738	0.536306	1	15.1053	1	0.185432	0
242	21.1538	0.400558	23.5132	0.376019	0	10.0364	0	0.134966	489.676
243	174.287	0.971997	27.3499	0.552269	0	18.0583	2	0.114639	0
244	199.243	0.0456174	25.9613	0.265349	1	9.6355	0	0.18493	34819.4
245	223.33	0.118226	36.4303	0.311813	1	5.95459	2	0.168372	6341.14
246	51.4904	0.670708	36.1139	0.45485	0	16.9212	1	0.192043	0
247	9.8602	0.519961	27.8942	0.511751	1	8.37685	1	0.0855511	6311.36
248	228.586	0.280525	20.6245	0.334881	0	22.9708	0	0.080667	247.14
249	29.8533	0.19781	23.4226	0.323282	0	11.9697	2	0.120687	10869.8
250	147.42	0.862824	31.9743	0.47062	1	21.3751	1	0.130828	0
251	5.01183	0.744452	30.1966	0.210432	1	8.09062	0	0.0835485	1053.06
252	23.8548	0.8777	37.2144	0.538925	0	23.6565	2	0.130755	0
253	8.51048	0.294078	23.569	0.36703	1	18.5598	1	0.184674	20139.5
254	90.6749	0.282352	25.3428	0.271093	0	9.96067	0	0.0841738	884.349
255	156.267	0.420577	32.287	0.357569	1	12.5703	2	0.238961	0
256	52.7313	0.964647	25.2254	0.488109	0	16.3265	1	0.137611	0
257	31.4945	0.646886	38.7559	0.56266	1	5.5953	0	0.116068	2322.45
258	230.861	0.224795	32.7531	0.46044	0	15.2775	2	0.0821181	0
259	170.622	0.0745703	33.6844	0.45596	0	9.7052	0	0.0508078	3312.8
260	211.619	0.620166	32.2887	0.395798	1	18.9986	1	0.209361	0
261	210.598	0.833505	34.9216	0.211926	0	21.1759	2	0.146213	144.468
262	35.7212	0.350405	30.7874	0.274136	1	23.3374	2	0.143133	396.042
263	199.224	0.623337	38.9157	0.345562	1	21.0962	0	0.22758	0
264	177.169	0.10557	21.7042	0.247707	0	22.0442	1	0.18758	70130.9
265	45.8973	0.106574	30.8051	0.419046	0	12.2798	1	0.0510298	0
266	124.042	0.791228	25.4459	0.5597	1	7.23998	2	0.205232	167096
267	234.807	0.762331	27.294	0.265943	0	12.8541	0	0.185688	216.753
268	227.862	0.273295	27.035	0.313466	1	20.4296	1	0.241342	103.341
269	98.1103	0.650241	25.6254	0.319101	0	8.8073	0	0.0580208	3546.89
270	129.735	0.836679	31.7744	0.468741	1	23.6161	2	0.236276	0
271	184.6	0.362811	21.4256	0.26976	1	5.2671	1	0.130601	210869
272	51.7426	0.791437	24.5184	0.500793	0	13.0758	0	0.115878	24.7644
273	52.2938	0.385242	37.697	0.265286	1	17.8594	2	0.0783687	34.0146
274	129.109	0.715694	32.63	0.46456	0	11.9713	0	0.221836	0
275	99.3044	0.283108	31.5448	0.377071	1	21.8617	1	0.229849	0
276	0.976617	0.297544	36.5579	0.259623	0	8.43144	2	0.227174	2874.59
277	93.3864	0.955697	21.1188	0.200277	0	18.0959	0	0.0584536	197218
278	172.604	0.363462	32.2187	0.531984	1	21.1003	1	0.192387	0
279	6.65111	0.972139	30.447	0.343583	1	20.9855	2	0.181899	132214
280	139.476	0.229915	21.6208	0.222106	0	9.94181	1	0.110665	145635
281	60.9103	0.210215	30.035	0.476439	0	10.1727	2	0.122642	4988.96
282	236.405	0.294578	23.3667	0.463288	1	11.3772	0	0.157367	90.8276
283	212.754	0.601906	30.3573	0.416026	0	15.7215	2	0.0596195	0
284	222.636	0.760911	20.6987	0.228279	1	14.0482	0	0.166298	1906.1
285	210.744	0.141249	32.2533	0.424153	0	19.2518	1	0.0715623	0
286	49.3337	0.933664	27.0986	0.482381	1	24.6836	2	0.103962	0
287	210.173	0.475665	31.068	0.594035	1	20.4828	0	0.0995432	0
288	200.044	0.47087	34.8213	0.455629	0	5.63265	1	0.186737	155436
289	75.1602	0.76546	27.0659	0.39318	1	19.2565	1	0.228866	11.2039
290	201.107	0.495518	20.3848	0.500478	0	17.2108	0	0.0780168	2880.44
291	50.708	0.403732	37.0262	0.469043	0	6.28022	2	0.205001	7576.05
292	4.19188	0.599352	26.0528	0.463696	1	11.5131	1	0.0907989	6916.61
293	129.924	0.627337	27.3768	0.344092	1	23.7858	2	0.111598	16.702
294	100.231	0.815056	29.4944	0.304536	0	9.70991	0	0.223194	140.295
295	82.7357	0.56818	36.4962	0.461194	0	21.554	2	0.111437	0
296	168.144	0.0596843	30.2201	0.348036	1	19.5454	1	0.191687	0
297	232.433	0.750868	38.0006	0.324091	0	19.4212	0	0.182417	0
298	190.88	0.343062	38.381	0.2439	1	18.2684	1	0.206672	0
299	116.022	0.353061	36.2386	0.428294	0	14.4069	2	0.0615286	0
300	139.345	0.810355	22.9998	0.469708	1	7.33481	0	0.0777433	175620
301	26.1793	0.161313	37.5821	0.282918	1	16.377	0	0.188465	20.3655
302	210.294	0.568524	29.804	0.416347	0	16.5833	1	0.212524	0
303	22.8506	0.281557	34.9005	0.274491	1	13.5301	2	0.121613	2683.99
304	3.55378	0.928556	20.2574	0.594315	0	23.1006	1	0.14596	193478
305	150.79	0.288951	26.4379	0.402742	1	12.9111	2	0.2466	6968.9
306	167.406	0.921371	32.0582	0.293248	0	6.80579	0	0.132457	0
307	125.97	0.949541	28.1099	0.372826	0	24.9699	2	0.187545	0
308	31.73	0.662699	36.5938	0.255464	1	16.2444	0	0.0880078	134.11
309	154.767	0.09971	21.3395	0.399818	1	18.1453	1	0.172573	100164
310	43.1417	0.885839	26.5283	0.207601	0	12.898	2	0.228734	145958
311	164.547	0.708246	21.8955	0.378197	0	13.1487	1	0.219044	121712
312	8.11785	0.499466	27.5103	0.493504	1	19.0279	0	0.0742287	0
313	94.7579	0.809868	20.4005	0.518918	1	7.20754	2	0.09021	205687
314	234.246	0.458004	28.8108	0.514503	0	14.0543	1	0.176816	0
315	4.41506	0.644513	39.3393	0.336498	0	23.2282	0	0.247627	0
316	208.266	0.130324	37.2368	0.322199	1	6.57094	0	0.16481	0
317	144.326	0.622475	28.3009	0.597426	0	19.1017	2	0.193096	0
318	146.101	0.833948	29.0748	0.495262	1	23.9834	1	0.108435	0
319	10.1937	0.0873015	20.8794	0.491463	0	11.7994	0	0.233787	2024.53
320	169.871	0.247787	39.1331	0.299193	1	18.6823	1	0.118798	0
321	169.678	0.702716	33.969	0.546965	1	22.3171	2	0.157948	0
322	69.5396	0.440793	20.4599	0.348323	0	7.98216	1	0.208351	202134
323	40.7723	0.183969	30.8941	0.270324	0	7.18913	2	0.242924	4126.61
324	240.813	0.0361131	27.5264	0.515505	1	17.0404	0	0.0826755	311.655
325	54.6532	0.371508	36.5396	0.481795	0	10.3131	2	0.22429	0
326	148.029	0.0420838	26.3135	0.376087	1	9.30508	0	0.151461	8512.48
327	191.073	0.420801	31.645	0.329171	0	18.0906	1	0.232419	0
328	20.4684	0.377083	26.6942	0.371034	1	5.70834	1	0.214564	192047
329	44.9995	0.933151	33.1111	0.228377	1	10.8835	2	0.0926797	76864
330	111.104	0.260931	38.7833	0.521158	0	7.79764	0	0.157571	0
331	162.365	0.521383	37.9891	0.51705	0	19.4173	1	0.127007	0
332	17.462	0.930201	23.9025	0.496054	1	7.45391	0	0.196025	154205
333	129.506	0.124434	36.3685	0.349212	1	6.76417	2	0.0799549	3795.43
334	27.6955	0.609329	38.072	0.594538	0	24.2037	2	0.14055	0
335	5.64042	0.552096	32.7879	0.59372	1	17.6135	1	0.188858	0
336	147.094	0.506113	29.4751	0.563237	0	9.66395	0	0.167472	0
337	209.856	0.0191964	24.862	0.234956	0	11.3273	2	0.242244	8149.87
338	147.894	0.319818	34.9684	0.283592	1	24.6288	0	0.0912719	0
339	83.2019	0.965445	39.2005	0.385854	1	18.2186	1	0.123273	0
340	217.67	0.588229	38.9686	0.293974	0	12.6882	2	0.117084	0
341	85.2435	0.0974805	31.6618	0.362271	0	16.2037	1	0.113699	0
342	156.81	0.87964	27.4454	0.4599	1	16.0042	0	0.140305	0
343	230.836	0.341215	34.9852	0.296861	0	8.42328	1	0.153314	45139.9
344	203.227	0.967141	27.0857	0.431729	1	20.8568	0	0.137329	0
345	175.499	0.319506	28.0093	0.573793	1	11.3972	2	0.0607899	0
346	249.306	0.694661	33.7188	0.512132	0	17.8427	0	0.138129	0
347	178.624	0.114293	36.1654	0.515071	1	6.00561	2	0.0808618	5527.22
348	234.12	0.648935	30.6257	0.483245	0	23.4096	1	0.249308	0
349	10.4389	0.650161	36.8528	0.389511	0	13.826	0	0.134609	0
350	190.345	0.581872	20.5211	0.477813	1	18.6096	2	0.215766	186226
351	167.992	0.24883	39.3927	0.386892	1	6.91516	1	0.223271	144991
352	51.2318	0.241681	32.8702	0.521713	0	6.30871	1	0.154025	130579
