Simulation	"Annual financial bail-out"	Attention rate for planning new infrastructure	Default infrastructure aging time	Maximum capacity exceeding	Percentage of income used for maintenance	Staff Hired	Staff required for tankers	Staff service time	switch policy staff attention	Target percentage infrastructure maintenance	householdshortage
129	185.78	0.925824	25.9556	0.0219666	0.575056	16	1	20.0314	0	0.128651	2321.39
130	229.021	0.520968	29.2958	0.341887	0.544085	24	0	12.3025	2	0.101472	0
131	189.628	0.737306	29.3848	0.188881	0.449055	21	1	20.9107	0	0.14126	0
132	85.19	0.980598	25.3105	0.0181312	0.243171	19	0	5.4849	1	0.149677	77281.4
133	0.577609	0.547944	37.4248	0.219795	0.596921	3	1	20.3528	2	0.236635	3470.48
134	128.858	0.588779	28.324	0.104454	0.498314	23	0	6.12141	0	0.150302	343.18
135	198.956	0.0745316	38.1415	0.465041	0.244694	2	0	22.4105	1	0.179971	80423.3
136	120.973	0.516975	29.6374	0.408987	0.535514	13	1	14.1893	1	0.142923	0
137	202.29	0.226896	25.3687	0.0213803	0.504687	7	1	10.6478	2	0.138503	2412.09
138	152.026	0.407669	37.315	0.141574	0.262408	11	0	24.8045	0	0.0966846	16.6496
139	147.638	0.0121831	27.4419	0.00693266	0.471882	12	1	24.8633	0	0.140145	7809.86
140	116.842	0.88915	27.8905	0.148513	0.440739	25	0	17.7436	1	0.11392	0
141	29.5703	0.582352	28.9737	0.311549	0.382325	16	1	6.17065	2	0.0841947	0
142	131.83	0.157214	25.4604	0.474382	0.412963	10	0	20.694	2	0.194882	0
143	237.443	0.438081	23.862	0.0464343	0.463126	4	0	5.66229	1	0.180991	185245
144	5.07985	0.0787116	35.5222	0.239475	0.407436	9	1	13.8764	0	0.0830502	0
145	130.213	0.329286	26.6729	0.423744	0.540952	8	0	9.12439	2	0.114415	0
146	126.271	0.0633944	25.9499	0.137921	0.594315	18	1	10.8926	1	0.0688449	49.4399
147	238.485	0.845364	27.3476	0.425055	0.30876	14	0	7.4444	0	0.0896201	0
148	4.08775	0.952731	34.8855	0.28112	0.293392	1	1	22.7577	1	0.120138	175826
149	167.784	0.738293	33.7191	0.089868	0.308941	15	1	20.5291	0	0.0958318	699.973
150	44.2963	0.980771	25.7718	0.0707192	0.327275	20	0	24.7561	2	0.054253	2198.37
151	61.2941	0.743842	37.0913	0.158423	0.321125	0	1	12.1143	2	0.053097	153650
152	41.2942	0.907098	26.2327	0.231498	0.250735	17	0	20.9054	1	0.168482	192.168
153	147.204	0.116415	29.4398	0.115279	0.420125	6	1	14.216	0	0.109013	96.6462
154	111.31	0.825429	36.7603	0.494477	0.205229	22	0	23.6258	1	0.194432	0
155	55.8814	0.852026	31.7799	0.127394	0.444789	24	1	24.4883	2	0.243871	0
156	104.786	0.233588	39.5335	0.294048	0.542726	5	0	12.2994	0	0.0756146	0
157	229.157	0.629098	36.1592	0.281376	0.221567	7	1	13.4512	2	0.247495	0
158	66.4721	0.128504	23.2402	0.446905	0.530927	3	0	22.0139	1	0.14227	-1.29807e+033
159	126.556	0.842694	37.5661	0.0625867	0.452818	11	0	16.4907	0	0.118195	680.075
160	41.1416	0.442075	35.6274	0.381545	0.504519	8	1	15.381	0	0.063058	0
161	228.36	0.952428	37.3333	0.317932	0.522614	24	1	13.1357	2	0.147469	0
162	207.546	0.704422	32.9905	0.110079	0.325471	4	0	21.9296	1	0.195866	166.769
163	234.028	0.908337	31.8385	0.225558	0.466593	18	1	7.42699	2	0.131704	0
164	224.875	0.0497568	39.241	0.295235	0.456363	1	0	13.8129	0	0.17418	142950
165	211.593	0.188569	31.3017	0.461452	0.536224	13	0	24.2611	1	0.143753	0
166	124.012	0.244343	30.6509	0.271558	0.404942	19	1	22.9506	2	0.129478	0
167	105.936	0.67557	28.1274	0.247194	0.231299	2	0	15.2242	1	0.111759	168355
168	230.571	0.864055	39.0405	0.0517548	0.510067	22	1	13.7526	0	0.0500952	857.077
169	2.74496	0.248544	22.8085	0.263964	0.386674	14	0	20.8619	2	0.089415	0
170	174.768	0.827541	33.1601	0.300235	0.318136	16	1	7.41004	0	0.242301	0
171	221.025	0.345724	32.2243	0.0189592	0.470552	10	0	23.416	1	0.220223	2105.27
172	151.926	0.468796	29.4666	0.0586053	0.362785	5	1	16.9212	2	0.187187	1466.6
173	164.639	0.167265	22.9598	0.0859375	0.462285	12	1	8.63587	0	0.194564	1035.37
174	213.273	0.621539	24.2771	0.456057	0.455684	25	0	12.057	1	0.137927	0
175	104.175	0.17064	26.6837	0.319077	0.540763	6	1	17.1464	0	0.246016	0
176	176.33	0.0682268	35.8854	0.109583	0.442328	9	0	14.3473	1	0.0788542	41.0255
177	170.441	0.973759	28.3089	0.164714	0.474999	21	1	7.93442	2	0.0689587	0
178	171.142	0.46622	29.4703	0.27741	0.394118	20	0	7.90512	0	0.209314	0
